LoanID,DisbursedAmount,TermMonths,InterestRate,AnnualTurnover,DSCR,BureauScore,Sector,CollateralValue,PastDelinquencies,YearsInBusiness,LoanPurpose,State,ProprietorGender,MonthsOnBook,Defaulted
MSME100345,923000.0,36,12.81,3995000.0,1.37,609,Manufacturing,543000.0,0,16.5,Expand textile weaving unit with additional looms,Karnataka,Male,41,0
MSME100346,779000.0,36,13.43,2595000.0,1.26,593,Textiles,175000.0,0,6.0,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Female,13,1
MSME100347,3027000.0,12,12.45,6740000.0,2.44,730,Retail Trade,1992000.0,0,7.9,Open a second retail outlet in the district,Uttar Pradesh,Male,1,0
MSME100348,440000.0,24,16.14,1174000.0,1.43,688,Retail Trade,479000.0,0,7.1,Working capital for raw material procurement,Punjab,Male,55,0
MSME100349,481000.0,12,13.69,2766000.0,0.73,503,Textiles,647000.0,2,4.7,Open a second retail outlet in the district,Uttar Pradesh,Male,26,1
MSME100350,259000.0,36,11.18,849000.0,2.14,849,Construction,75000.0,1,2.9,Upgrade delivery fleet and cold-storage units,Gujarat,Male,21,0
MSME100351,618000.0,48,10.06,3084000.0,1.38,660,Construction,580000.0,0,3.3,Working capital for raw material procurement,Maharashtra,Male,4,0
MSME100352,163000.0,60,18.12,597000.0,0.78,634,IT Services,146000.0,0,7.8,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Female,6,1
MSME100353,509000.0,12,14.5,1032000.0,0.59,810,Retail Trade,287000.0,1,1.5,Open a second retail outlet in the district,Uttar Pradesh,Female,14,1
MSME100354,784000.0,48,14.81,2188000.0,0.62,743,Food Processing,1097000.0,2,4.4,Working capital for raw material procurement,West Bengal,Male,45,0
MSME100355,547000.0,48,16.28,2851000.0,1.84,800,Logistics,872000.0,2,4.3,Working capital for raw material procurement,Uttar Pradesh,Female,40,0
MSME100356,437000.0,36,13.68,1936000.0,2.02,605,Logistics,553000.0,0,3.2,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Male,20,0
MSME100357,526000.0,48,13.24,1834000.0,2.41,783,Textiles,274000.0,0,4.6,Purchase of new machinery to expand production capacity,Punjab,Female,49,0
MSME100358,1527000.0,24,14.92,3167000.0,1.02,623,Construction,2560000.0,0,6.2,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Female,24,0
MSME100359,2119000.0,48,14.73,7614000.0,1.47,700,Food Processing,3361000.0,0,7.1,Emergency funds after delayed receivables from buyers,Punjab,Male,8,0
MSME100360,447000.0,48,11.96,871000.0,1.4,712,Retail Trade,648000.0,0,6.0,Working capital for raw material procurement,Tamil Nadu,Male,32,0
MSME100361,272000.0,12,13.39,657000.0,1.77,777,IT Services,230000.0,0,7.2,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,17,0
MSME100362,663000.0,84,8.95,3537000.0,1.01,782,Manufacturing,766000.0,0,3.3,Working capital for raw material procurement,Kerala,Male,44,0
MSME100363,444000.0,36,11.9,2359000.0,1.45,677,Retail Trade,471000.0,1,11.2,Refinance existing high-interest debt and consolidate dues,Kerala,Male,2,0
MSME100364,454000.0,36,13.95,925000.0,1.89,773,Logistics,422000.0,0,9.1,Open a second retail outlet in the district,Kerala,Male,59,0
MSME100365,524000.0,84,12.07,1867000.0,1.07,624,IT Services,760000.0,1,4.0,Working capital for raw material procurement,Tamil Nadu,Male,29,0
MSME100366,860000.0,12,10.7,4922000.0,3.16,610,Construction,1409000.0,1,2.2,Refinance existing high-interest debt and consolidate dues,West Bengal,Male,28,0
MSME100367,337000.0,24,16.35,604000.0,1.17,689,Retail Trade,508000.0,1,1.0,Purchase of new machinery to expand production capacity,Karnataka,Female,58,0
MSME100368,431000.0,84,18.36,981000.0,1.22,621,Retail Trade,703000.0,0,3.5,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Male,12,0
MSME100369,540000.0,48,14.72,1831000.0,0.82,651,Construction,217000.0,1,23.8,Working capital for raw material procurement,Karnataka,Male,49,1
MSME100370,821000.0,48,13.63,4512000.0,1.8,659,Agriculture,503000.0,1,3.5,Open a second retail outlet in the district,West Bengal,Male,57,0
MSME100371,711000.0,12,13.97,1811000.0,1.45,711,Food Processing,327000.0,0,6.1,Open a second retail outlet in the district,Punjab,Female,57,0
MSME100372,435000.0,36,9.63,2162000.0,1.26,643,IT Services,732000.0,0,7.9,Working capital for raw material procurement,Karnataka,Female,14,0
MSME100373,487000.0,24,16.08,2509000.0,3.08,602,Textiles,436000.0,0,3.2,Purchase of new machinery to expand production capacity,Tamil Nadu,Female,16,0
MSME100374,867000.0,84,13.04,4583000.0,2.76,637,Construction,1180000.0,1,2.0,Emergency funds after delayed receivables from buyers,Gujarat,Male,39,0
MSME100375,911000.0,12,17.11,2879000.0,3.5,689,IT Services,1154000.0,3,9.9,Working capital for raw material procurement,Punjab,Male,41,0
MSME100376,796000.0,24,14.05,2397000.0,2.19,605,Logistics,507000.0,1,8.1,Upgrade delivery fleet and cold-storage units,West Bengal,Female,44,0
MSME100377,896000.0,24,17.85,1863000.0,1.37,641,Manufacturing,971000.0,0,14.8,Expand textile weaving unit with additional looms,Karnataka,Male,33,0
MSME100378,1116000.0,48,12.01,2751000.0,0.8,765,Retail Trade,985000.0,1,6.6,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Male,42,1
MSME100379,1393000.0,12,12.8,4896000.0,1.06,697,Manufacturing,1898000.0,3,1.7,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Male,34,1
MSME100380,711000.0,48,12.35,3687000.0,2.17,691,Logistics,299000.0,2,1.9,Refinance existing high-interest debt and consolidate dues,Punjab,Male,39,0
MSME100381,415000.0,36,13.62,1493000.0,1.01,670,Textiles,318000.0,1,3.6,Purchase of new machinery to expand production capacity,Punjab,Female,8,0
MSME100382,751000.0,24,11.74,3409000.0,2.76,706,Retail Trade,963000.0,0,8.0,Expand textile weaving unit with additional looms,Punjab,Male,41,0
MSME100383,572000.0,24,12.99,2551000.0,2.22,750,Construction,248000.0,1,8.7,Purchase of new machinery to expand production capacity,Tamil Nadu,Male,38,0
MSME100384,795000.0,24,14.53,3193000.0,1.61,588,Textiles,543000.0,1,8.3,Upgrade delivery fleet and cold-storage units,Maharashtra,Male,28,1
MSME100385,696000.0,60,15.46,2528000.0,1.18,622,Food Processing,1096000.0,0,1.3,Open a second retail outlet in the district,Uttar Pradesh,Male,57,0
MSME100386,427000.0,48,16.1,927000.0,1.28,770,Retail Trade,177000.0,1,9.8,Purchase of new machinery to expand production capacity,Kerala,Female,15,0
MSME100387,363000.0,24,15.2,1334000.0,1.49,713,IT Services,279000.0,0,5.4,Upgrade delivery fleet and cold-storage units,West Bengal,Male,39,0
MSME100388,422000.0,36,14.41,2079000.0,1.78,631,Food Processing,114000.0,1,7.7,Working capital for raw material procurement,Karnataka,Female,29,0
MSME100389,1667000.0,60,13.99,3016000.0,0.62,555,IT Services,1281000.0,1,1.8,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Female,19,1
MSME100390,686000.0,48,14.76,2346000.0,0.98,620,Logistics,1037000.0,0,7.1,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,36,0
MSME100391,567000.0,48,13.01,1864000.0,2.09,730,Textiles,873000.0,2,7.0,Emergency funds after delayed receivables from buyers,Gujarat,Female,52,1
MSME100392,1141000.0,12,15.21,3751000.0,0.6,677,Food Processing,367000.0,0,3.2,Working capital for raw material procurement,Punjab,Male,16,1
MSME100393,433000.0,12,13.04,1270000.0,0.49,696,Manufacturing,515000.0,0,1.7,Expand textile weaving unit with additional looms,Maharashtra,Male,20,0
MSME100394,1972000.0,36,12.63,11823000.0,1.73,857,Retail Trade,502000.0,1,4.0,Expand textile weaving unit with additional looms,Tamil Nadu,Female,50,0
MSME100395,610000.0,12,12.01,1388000.0,2.2,570,Logistics,824000.0,0,5.7,Working capital for raw material procurement,Tamil Nadu,Male,14,0
MSME100396,283000.0,36,13.12,869000.0,2.38,585,IT Services,502000.0,0,14.6,Bridge a seasonal cash crunch ahead of festival demand,West Bengal,Male,3,0
MSME100397,833000.0,12,16.43,2060000.0,0.43,694,Retail Trade,1268000.0,0,3.0,Working capital for raw material procurement,West Bengal,Male,25,0
MSME100398,901000.0,60,8.72,5170000.0,0.76,828,IT Services,760000.0,0,7.1,Working capital for raw material procurement,Maharashtra,Male,2,0
MSME100399,2617000.0,24,14.93,14288000.0,2.21,545,Logistics,3235000.0,0,8.8,Purchase of new machinery to expand production capacity,Tamil Nadu,Male,42,1
MSME100400,471000.0,84,12.66,897000.0,3.41,608,Food Processing,147000.0,0,2.0,Open a second retail outlet in the district,West Bengal,Male,13,0
MSME100401,776000.0,84,12.69,3883000.0,1.11,675,Food Processing,430000.0,1,1.5,Purchase of new machinery to expand production capacity,Kerala,Female,47,0
MSME100402,374000.0,36,18.43,1704000.0,0.96,722,Retail Trade,235000.0,1,4.1,Working capital for raw material procurement,Karnataka,Female,42,0
MSME100403,703000.0,60,13.81,1301000.0,1.28,693,Retail Trade,1241000.0,0,0.9,Expand textile weaving unit with additional looms,Tamil Nadu,Male,41,0
MSME100404,253000.0,24,8.54,880000.0,2.0,729,Manufacturing,186000.0,1,5.2,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Male,24,0
MSME100405,638000.0,24,14.16,1176000.0,1.61,535,Food Processing,496000.0,1,2.5,Working capital for raw material procurement,Maharashtra,Female,9,0
MSME100406,917000.0,36,15.77,2521000.0,1.29,689,IT Services,600000.0,1,0.5,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Male,3,0
MSME100407,1141000.0,60,15.0,3122000.0,3.5,601,Agriculture,851000.0,1,11.9,Working capital for raw material procurement,Maharashtra,Male,4,0
MSME100408,394000.0,12,12.72,1345000.0,1.84,744,Construction,121000.0,1,1.9,Purchase of new machinery to expand production capacity,Karnataka,Female,6,0
MSME100409,288000.0,12,15.33,1597000.0,0.76,710,Manufacturing,294000.0,0,4.8,Open a second retail outlet in the district,Gujarat,Male,54,0
MSME100410,357000.0,12,11.53,1723000.0,1.25,586,Food Processing,331000.0,1,7.2,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Male,48,1
MSME100411,949000.0,48,15.73,1642000.0,1.4,602,Retail Trade,662000.0,1,4.8,Open a second retail outlet in the district,Punjab,Male,16,1
MSME100412,878000.0,12,12.19,3008000.0,0.75,636,Textiles,999000.0,0,7.4,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Female,56,1
MSME100413,312000.0,36,16.34,1394000.0,2.11,775,Logistics,507000.0,0,5.2,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Female,11,0
MSME100414,468000.0,48,8.0,2538000.0,1.75,691,Retail Trade,316000.0,0,9.5,Bridge a seasonal cash crunch ahead of festival demand,Gujarat,Male,9,0
MSME100415,579000.0,24,16.77,3391000.0,2.25,762,Food Processing,363000.0,1,8.6,Working capital for raw material procurement,Karnataka,Male,11,0
MSME100416,361000.0,48,13.35,1408000.0,1.23,713,Textiles,303000.0,0,7.3,Open a second retail outlet in the district,Kerala,Female,30,0
MSME100417,147000.0,12,14.66,852000.0,0.99,611,Manufacturing,152000.0,1,6.7,Expand textile weaving unit with additional looms,Tamil Nadu,Male,50,1
MSME100418,1208000.0,48,10.01,6562000.0,0.3,759,Manufacturing,1738000.0,0,10.6,Upgrade delivery fleet and cold-storage units,Kerala,Female,43,0
MSME100419,334000.0,48,14.11,668000.0,1.12,718,IT Services,521000.0,1,5.1,Refinance existing high-interest debt and consolidate dues,Kerala,Male,28,1
MSME100420,712000.0,24,17.67,3978000.0,0.68,704,Manufacturing,739000.0,0,5.8,Purchase of new machinery to expand production capacity,Maharashtra,Female,18,0
MSME100421,495000.0,36,12.48,2248000.0,2.1,741,Construction,784000.0,0,3.3,Refinance existing high-interest debt and consolidate dues,Gujarat,Male,23,0
MSME100422,441000.0,24,10.94,1839000.0,2.03,789,Logistics,163000.0,0,1.9,Bridge a seasonal cash crunch ahead of festival demand,Kerala,Male,28,0
MSME100423,424000.0,36,16.26,903000.0,1.08,656,Retail Trade,299000.0,0,5.4,Emergency funds after delayed receivables from buyers,Punjab,Male,39,0
MSME100424,2157000.0,36,14.74,8322000.0,1.13,528,Food Processing,1160000.0,0,8.7,Purchase of new machinery to expand production capacity,Tamil Nadu,Female,50,1
MSME100425,444000.0,12,9.76,1569000.0,1.87,721,Retail Trade,590000.0,2,2.5,Expand textile weaving unit with additional looms,Tamil Nadu,Female,17,0
MSME100426,243000.0,36,12.73,1201000.0,0.32,784,Textiles,364000.0,1,2.5,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Female,2,1
MSME100427,239000.0,60,14.1,995000.0,1.48,563,Logistics,212000.0,0,4.1,Expand textile weaving unit with additional looms,Gujarat,Male,28,1
MSME100428,260000.0,12,17.24,877000.0,1.26,736,Logistics,114000.0,0,4.0,Expand textile weaving unit with additional looms,West Bengal,Male,31,1
MSME100429,301000.0,60,16.58,1082000.0,0.53,671,Retail Trade,286000.0,2,8.9,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Female,3,1
MSME100430,1054000.0,60,8.0,2133000.0,1.62,607,Food Processing,1671000.0,1,14.8,Bridge a seasonal cash crunch ahead of festival demand,West Bengal,Male,23,1
MSME100431,811000.0,48,10.81,2394000.0,3.23,581,IT Services,721000.0,1,9.2,Upgrade delivery fleet and cold-storage units,Maharashtra,Male,55,0
MSME100432,655000.0,60,12.54,3280000.0,3.5,634,Textiles,425000.0,0,0.8,Refinance existing high-interest debt and consolidate dues,Kerala,Male,15,0
MSME100433,852000.0,36,12.83,4265000.0,1.06,650,Food Processing,998000.0,0,1.2,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Female,58,0
MSME100434,370000.0,48,15.43,630000.0,1.0,702,Textiles,256000.0,1,3.4,Open a second retail outlet in the district,Kerala,Male,8,0
MSME100435,1133000.0,48,16.48,5357000.0,2.67,722,Construction,1237000.0,0,3.6,Working capital for raw material procurement,Karnataka,Female,54,0
MSME100436,242000.0,12,13.36,1111000.0,0.75,617,Agriculture,335000.0,1,5.2,Working capital for raw material procurement,Gujarat,Male,36,1
MSME100437,584000.0,60,19.45,1087000.0,1.0,652,Manufacturing,425000.0,2,3.1,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Male,28,1
MSME100438,870000.0,36,10.82,4900000.0,2.68,693,Retail Trade,222000.0,3,7.4,Expand textile weaving unit with additional looms,Gujarat,Female,56,0
MSME100439,543000.0,60,10.82,1573000.0,2.05,672,Textiles,322000.0,0,9.6,Purchase of new machinery to expand production capacity,Maharashtra,Male,21,0
MSME100440,297000.0,12,16.81,961000.0,0.68,754,Manufacturing,329000.0,1,4.1,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Female,53,0
MSME100441,550000.0,36,17.93,2605000.0,2.9,766,Textiles,510000.0,0,1.8,Upgrade delivery fleet and cold-storage units,Karnataka,Female,22,0
MSME100442,313000.0,48,13.9,1693000.0,2.14,692,Logistics,472000.0,1,2.7,Refinance existing high-interest debt and consolidate dues,Punjab,Female,57,0
MSME100443,599000.0,24,15.6,2301000.0,1.41,685,Manufacturing,1064000.0,2,1.9,Upgrade delivery fleet and cold-storage units,Uttar Pradesh,Male,36,1
MSME100444,753000.0,36,11.78,1378000.0,1.73,741,Construction,614000.0,0,2.5,Refinance existing high-interest debt and consolidate dues,West Bengal,Female,35,0
MSME100445,586000.0,24,11.36,3085000.0,2.31,665,Construction,625000.0,0,11.5,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Male,56,0
MSME100446,612000.0,24,12.26,1782000.0,1.21,696,Retail Trade,842000.0,2,8.3,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Female,26,0
MSME100447,446000.0,60,11.74,2531000.0,2.26,594,Construction,502000.0,0,8.3,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,24,0
MSME100448,533000.0,12,14.06,2939000.0,2.39,661,Retail Trade,546000.0,0,7.8,Bridge a seasonal cash crunch ahead of festival demand,Maharashtra,Male,27,0
MSME100449,411000.0,48,13.03,2248000.0,1.04,640,Manufacturing,588000.0,0,13.3,Open a second retail outlet in the district,West Bengal,Male,56,0
MSME100450,846000.0,36,12.2,4968000.0,2.39,626,Logistics,826000.0,0,1.3,Expand textile weaving unit with additional looms,Maharashtra,Male,59,0
MSME100451,351000.0,36,15.66,1843000.0,2.92,675,Manufacturing,521000.0,2,4.6,Purchase of new machinery to expand production capacity,Punjab,Male,28,0
MSME100452,1040000.0,12,14.18,2628000.0,1.89,670,Textiles,289000.0,0,10.9,Upgrade delivery fleet and cold-storage units,Karnataka,Female,40,0
MSME100453,428000.0,36,11.12,1451000.0,2.32,559,Construction,482000.0,0,7.8,Refinance existing high-interest debt and consolidate dues,West Bengal,Male,40,0
MSME100454,639000.0,12,16.13,2540000.0,3.2,688,Food Processing,315000.0,1,6.0,Purchase of new machinery to expand production capacity,Karnataka,Male,25,0
MSME100455,155000.0,24,13.91,266000.0,2.12,757,Retail Trade,262000.0,0,3.6,Upgrade delivery fleet and cold-storage units,West Bengal,Male,20,0
MSME100456,797000.0,36,17.24,1340000.0,2.74,742,IT Services,1280000.0,0,5.7,Purchase of new machinery to expand production capacity,Gujarat,Male,47,0
MSME100457,497000.0,36,10.9,1441000.0,1.91,661,Retail Trade,477000.0,1,2.6,Working capital for raw material procurement,Uttar Pradesh,Male,27,1
MSME100458,597000.0,48,12.13,948000.0,1.81,657,Retail Trade,283000.0,0,3.8,Refinance existing high-interest debt and consolidate dues,Gujarat,Female,31,0
MSME100459,524000.0,48,15.7,1646000.0,2.79,767,IT Services,910000.0,0,5.5,Working capital for raw material procurement,West Bengal,Male,53,0
MSME100460,236000.0,12,11.54,1360000.0,0.63,804,Retail Trade,423000.0,0,7.6,Upgrade delivery fleet and cold-storage units,Karnataka,Male,42,0
MSME100461,1134000.0,24,12.12,3121000.0,0.59,611,Food Processing,1749000.0,0,3.1,Refinance existing high-interest debt and consolidate dues,Karnataka,Male,50,0
MSME100462,392000.0,48,11.28,1776000.0,0.79,636,Logistics,334000.0,1,3.0,Working capital for raw material procurement,West Bengal,Male,38,1
MSME100463,376000.0,48,20.13,946000.0,1.49,607,Manufacturing,392000.0,1,2.7,Refinance existing high-interest debt and consolidate dues,Kerala,Male,16,0
MSME100464,509000.0,36,14.92,1674000.0,1.79,719,Agriculture,833000.0,0,11.7,Upgrade delivery fleet and cold-storage units,Kerala,Male,29,0
MSME100465,258000.0,36,16.47,1048000.0,1.64,707,Construction,300000.0,0,1.8,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Male,11,1
MSME100466,588000.0,24,15.86,3393000.0,1.66,704,Retail Trade,119000.0,0,16.6,Expand textile weaving unit with additional looms,Gujarat,Female,52,0
MSME100467,853000.0,48,15.49,5008000.0,2.14,604,IT Services,580000.0,2,2.2,Open a second retail outlet in the district,Uttar Pradesh,Male,33,0
MSME100468,1580000.0,36,9.15,6596000.0,1.85,685,Textiles,1629000.0,0,0.6,Emergency funds after delayed receivables from buyers,Uttar Pradesh,Female,10,0
MSME100469,335000.0,36,10.46,926000.0,0.49,717,Logistics,474000.0,0,2.6,Open a second retail outlet in the district,Punjab,Male,39,0
MSME100470,234000.0,12,8.87,897000.0,0.77,676,Agriculture,418000.0,1,1.2,Purchase of new machinery to expand production capacity,Punjab,Male,5,1
MSME100471,213000.0,36,10.02,877000.0,0.98,639,IT Services,155000.0,0,5.0,Bridge a seasonal cash crunch ahead of festival demand,Punjab,Male,38,0
MSME100472,431000.0,24,16.27,1567000.0,0.3,705,Retail Trade,574000.0,1,3.0,Upgrade delivery fleet and cold-storage units,Uttar Pradesh,Male,30,0
MSME100473,255000.0,48,13.45,966000.0,0.48,602,Manufacturing,176000.0,0,4.3,Open a second retail outlet in the district,Uttar Pradesh,Female,21,1
MSME100474,167000.0,36,11.56,888000.0,0.88,581,Construction,140000.0,2,14.7,Upgrade delivery fleet and cold-storage units,Gujarat,Male,36,1
MSME100475,593000.0,48,17.48,1337000.0,2.11,707,Construction,1012000.0,0,3.3,Emergency funds after delayed receivables from buyers,Punjab,Male,35,0
MSME100476,930000.0,60,9.48,4856000.0,1.33,623,Textiles,1260000.0,0,8.3,Emergency funds after delayed receivables from buyers,Punjab,Male,52,1
MSME100477,202000.0,48,16.05,381000.0,1.74,671,Textiles,291000.0,2,2.3,Open a second retail outlet in the district,Maharashtra,Male,21,1
MSME100478,408000.0,84,15.1,1043000.0,0.6,691,Construction,474000.0,1,3.7,Refinance existing high-interest debt and consolidate dues,Punjab,Male,54,1
MSME100479,707000.0,48,16.38,2812000.0,1.72,783,Manufacturing,402000.0,1,2.8,Working capital for raw material procurement,Karnataka,Male,10,0
MSME100480,575000.0,36,9.14,3115000.0,1.98,557,Construction,768000.0,0,4.0,Purchase of new machinery to expand production capacity,Punjab,Male,55,1
MSME100481,305000.0,36,15.26,944000.0,1.43,742,Retail Trade,214000.0,1,3.3,Working capital for raw material procurement,Punjab,Male,40,0
MSME100482,1730000.0,48,13.47,5434000.0,1.21,569,Logistics,1331000.0,0,14.3,Open a second retail outlet in the district,Karnataka,Male,53,1
MSME100483,181000.0,60,11.2,333000.0,0.76,654,Textiles,42000.0,0,5.0,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Male,6,1
MSME100484,410000.0,36,10.72,1358000.0,1.12,817,Logistics,686000.0,1,4.5,Bridge a seasonal cash crunch ahead of festival demand,Kerala,Male,53,0
MSME100485,699000.0,24,11.98,3824000.0,1.22,713,Retail Trade,632000.0,0,2.6,Purchase of new machinery to expand production capacity,West Bengal,Female,46,0
MSME100486,142000.0,60,12.08,834000.0,1.75,763,Manufacturing,51000.0,0,3.5,Working capital for raw material procurement,Tamil Nadu,Male,20,0
MSME100487,410000.0,12,18.65,722000.0,2.87,600,Retail Trade,414000.0,0,3.5,Open a second retail outlet in the district,Punjab,Male,39,0
MSME100488,1050000.0,36,12.2,3797000.0,1.68,761,Food Processing,915000.0,0,2.3,Emergency funds after delayed receivables from buyers,Tamil Nadu,Male,40,1
MSME100489,717000.0,60,14.34,2838000.0,2.47,642,Logistics,820000.0,1,2.9,Emergency funds after delayed receivables from buyers,West Bengal,Male,49,0
MSME100490,514000.0,48,13.09,2380000.0,2.24,645,Manufacturing,383000.0,0,4.1,Open a second retail outlet in the district,West Bengal,Male,44,0
MSME100491,261000.0,48,9.72,883000.0,2.19,681,Textiles,318000.0,1,7.8,Working capital for raw material procurement,Kerala,Female,27,0
MSME100492,321000.0,24,11.33,960000.0,1.88,605,Manufacturing,522000.0,2,4.1,Working capital for raw material procurement,Tamil Nadu,Male,2,1
MSME100493,86000.0,36,10.22,410000.0,0.71,668,Manufacturing,21000.0,1,5.2,Open a second retail outlet in the district,Uttar Pradesh,Female,18,1
MSME100494,441000.0,48,16.18,1552000.0,0.97,891,Food Processing,584000.0,0,1.2,Upgrade delivery fleet and cold-storage units,Kerala,Female,11,0
MSME100495,275000.0,24,13.11,1114000.0,0.84,817,IT Services,340000.0,0,9.3,Expand textile weaving unit with additional looms,Kerala,Male,53,0
MSME100496,232000.0,36,10.01,1114000.0,0.94,744,IT Services,183000.0,1,8.1,Upgrade delivery fleet and cold-storage units,Maharashtra,Male,53,0
MSME100497,454000.0,84,13.21,1962000.0,0.96,726,IT Services,755000.0,1,13.6,Open a second retail outlet in the district,Gujarat,Male,41,0
MSME100498,446000.0,48,13.49,1999000.0,1.84,703,Manufacturing,213000.0,1,4.1,Emergency funds after delayed receivables from buyers,Punjab,Female,39,0
MSME100499,2060000.0,24,11.21,10877000.0,1.17,609,Manufacturing,3299000.0,0,4.0,Purchase of new machinery to expand production capacity,Maharashtra,Male,53,0
MSME100500,261000.0,24,10.51,1154000.0,1.12,719,Retail Trade,269000.0,0,2.5,Bridge a seasonal cash crunch ahead of festival demand,Maharashtra,Male,50,0
MSME100501,211000.0,36,15.89,887000.0,0.61,643,IT Services,129000.0,1,7.9,Purchase of new machinery to expand production capacity,Maharashtra,Female,40,0
MSME100502,639000.0,36,16.72,2374000.0,2.93,695,Logistics,460000.0,0,6.0,Upgrade delivery fleet and cold-storage units,Karnataka,Male,15,0
MSME100503,1491000.0,48,14.75,7006000.0,1.09,747,Construction,1243000.0,0,4.2,Expand textile weaving unit with additional looms,Kerala,Female,54,0
MSME100504,533000.0,48,10.56,839000.0,1.94,660,Food Processing,527000.0,2,1.6,Working capital for raw material procurement,Gujarat,Male,36,0
MSME100505,697000.0,24,13.3,1147000.0,0.8,727,Food Processing,421000.0,0,6.2,Expand textile weaving unit with additional looms,Uttar Pradesh,Female,24,0
MSME100506,225000.0,12,11.04,571000.0,1.38,612,Agriculture,271000.0,1,2.0,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Male,16,0
MSME100507,2069000.0,48,8.78,5219000.0,0.65,725,Manufacturing,3629000.0,0,11.6,Bridge a seasonal cash crunch ahead of festival demand,Karnataka,Male,37,0
MSME100508,201000.0,36,14.83,546000.0,0.93,723,IT Services,165000.0,0,1.9,Upgrade delivery fleet and cold-storage units,Punjab,Male,1,0
MSME100509,731000.0,24,10.41,2793000.0,1.3,674,Food Processing,421000.0,1,7.6,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,10,0
MSME100510,1442000.0,24,15.72,2642000.0,2.15,731,Retail Trade,627000.0,1,0.9,Upgrade delivery fleet and cold-storage units,Tamil Nadu,Male,2,0
MSME100511,1183000.0,24,11.14,6771000.0,0.87,674,IT Services,404000.0,2,12.0,Upgrade delivery fleet and cold-storage units,Uttar Pradesh,Female,15,0
MSME100512,299000.0,48,8.96,1304000.0,1.5,835,Retail Trade,494000.0,0,3.8,Refinance existing high-interest debt and consolidate dues,Tamil Nadu,Male,38,0
MSME100513,361000.0,48,11.78,1501000.0,1.97,778,Retail Trade,309000.0,3,5.7,Purchase of new machinery to expand production capacity,West Bengal,Male,27,0
MSME100514,574000.0,48,13.67,2238000.0,1.3,816,Retail Trade,442000.0,0,7.9,Open a second retail outlet in the district,Maharashtra,Female,42,0
MSME100515,511000.0,48,13.03,1949000.0,1.51,564,Retail Trade,229000.0,1,11.3,Refinance existing high-interest debt and consolidate dues,Maharashtra,Female,11,1
MSME100516,916000.0,12,12.13,4601000.0,0.65,708,Food Processing,857000.0,0,3.4,Refinance existing high-interest debt and consolidate dues,Gujarat,Female,7,0
MSME100517,273000.0,24,12.76,1284000.0,1.39,782,Retail Trade,55000.0,0,7.9,Refinance existing high-interest debt and consolidate dues,Uttar Pradesh,Female,2,0
MSME100518,325000.0,12,16.76,1752000.0,2.32,652,Retail Trade,282000.0,1,0.6,Expand textile weaving unit with additional looms,Karnataka,Female,6,0
MSME100519,881000.0,12,11.33,4770000.0,1.83,671,Logistics,1446000.0,0,13.6,Working capital for raw material procurement,West Bengal,Female,27,0
MSME100520,251000.0,84,17.49,400000.0,1.0,768,IT Services,337000.0,0,1.2,Purchase of new machinery to expand production capacity,Karnataka,Male,25,0
MSME100521,1119000.0,36,16.89,1861000.0,0.81,756,Retail Trade,610000.0,0,9.3,Upgrade delivery fleet and cold-storage units,Kerala,Male,12,1
MSME100522,1211000.0,36,16.82,4732000.0,3.5,702,IT Services,1881000.0,0,1.5,Purchase of new machinery to expand production capacity,Punjab,Male,5,0
MSME100523,507000.0,12,17.76,2378000.0,1.91,662,Manufacturing,350000.0,0,22.8,Working capital for raw material procurement,Punjab,Male,5,0
MSME100524,434000.0,60,13.76,2038000.0,1.74,762,Textiles,703000.0,0,2.0,Expand textile weaving unit with additional looms,Kerala,Female,11,0
MSME100525,985000.0,48,13.73,4845000.0,1.24,729,Textiles,1276000.0,2,4.3,Bridge a seasonal cash crunch ahead of festival demand,Uttar Pradesh,Female,51,1
