applicant_age,personal_sex,credit_duration_months,credit_amount,purpose,employment_years,num_existing_credits,savings_status,installment_rate_pct,credit_risk
19,male,36,3147.0,education,4.2,0,<100,3,2
42,male,48,4801.0,radio/tv,2.1,0,<100,1,2
67,male,36,4047.0,business,7.2,1,100-500,4,2
52,male,18,1377.0,car,7.1,2,500-1000,1,2
21,male,24,2382.0,education,4.1,0,100-500,2,1
61,male,18,15351.0,repairs,8.8,0,100-500,1,2
29,male,48,4413.0,radio/tv,3.3,0,>1000,3,2
43,male,6,5261.0,furniture,1.3,1,unknown,2,2
30,male,36,2116.0,education,5.7,1,<100,3,2
24,female,12,2460.0,furniture,4.8,1,unknown,2,2
53,female,18,1518.0,business,4.9,1,100-500,4,2
25,male,24,6852.0,car,3.3,1,100-500,3,2
29,male,48,2654.0,business,7.0,1,<100,3,1
25,male,48,7472.0,education,4.5,3,100-500,1,2
31,male,36,1192.0,radio/tv,3.2,0,>1000,3,1
69,female,12,2700.0,radio/tv,3.6,1,<100,1,1
34,male,24,1284.0,car,4.6,0,>1000,2,1
50,female,18,2613.0,furniture,2.7,0,>1000,3,2
49,female,48,7543.0,radio/tv,1.7,0,<100,4,2
26,female,36,7033.0,education,1.7,1,100-500,1,2
68,male,36,3726.0,business,1.0,0,>1000,1,2
32,male,24,1471.0,business,4.9,0,500-1000,2,1
38,male,18,2722.0,repairs,5.2,0,>1000,4,1
59,female,18,2815.0,education,4.4,0,>1000,3,2
67,male,12,1437.0,car,1.6,0,100-500,1,1
49,female,48,3415.0,radio/tv,10.6,1,>1000,4,2
71,male,18,1422.0,repairs,7.1,1,500-1000,2,2
53,male,24,2819.0,business,2.5,1,500-1000,4,2
54,male,24,9379.0,radio/tv,3.0,0,>1000,1,1
49,male,36,4395.0,education,6.1,0,unknown,3,1
54,male,48,3898.0,business,2.1,1,unknown,2,2
23,male,12,985.0,repairs,2.4,1,100-500,2,1
21,female,6,10385.0,education,1.7,0,>1000,1,2
45,female,36,5847.0,furniture,5.9,0,unknown,1,2
68,female,18,2514.0,car,5.1,0,>1000,3,1
32,female,24,4501.0,car,8.7,1,>1000,2,2
57,male,6,5704.0,radio/tv,1.3,3,100-500,3,2
60,female,6,8454.0,repairs,3.1,1,>1000,2,2
39,male,24,3890.0,business,8.4,1,>1000,1,1
37,female,6,2530.0,education,3.9,0,>1000,2,1
54,male,18,2789.0,car,9.0,1,unknown,3,2
22,female,18,1677.0,education,0.9,1,500-1000,1,1
67,female,24,6436.0,repairs,0.6,0,500-1000,1,2
60,female,18,2655.0,furniture,2.4,1,500-1000,4,2
61,male,6,2862.0,repairs,5.9,0,>1000,4,1
69,male,48,4184.0,car,5.8,2,>1000,4,2
67,male,36,2679.0,business,7.3,0,100-500,3,2
56,male,48,1693.0,business,6.2,0,100-500,2,2
51,male,18,2709.0,business,7.4,0,100-500,1,1
36,female,6,3207.0,education,5.0,3,100-500,1,2
23,male,36,5352.0,repairs,5.5,0,>1000,2,2
62,male,36,1477.0,furniture,7.3,1,<100,2,2
35,male,48,2583.0,education,4.5,0,500-1000,3,2
54,female,24,4985.0,education,1.4,1,<100,1,2
61,female,6,5867.0,radio/tv,2.4,0,>1000,2,2
64,male,6,6340.0,car,4.4,1,>1000,2,2
70,female,24,4493.0,furniture,0.4,0,100-500,3,2
63,male,48,3109.0,education,1.3,0,>1000,4,2
64,male,6,2547.0,business,3.0,1,500-1000,2,2
34,female,18,1916.0,car,7.0,0,<100,1,2
20,male,6,6810.0,radio/tv,1.8,0,100-500,4,2
32,female,48,1347.0,furniture,0.9,0,unknown,1,1
56,female,12,1638.0,furniture,1.6,1,<100,4,2
63,male,12,3177.0,car,4.7,1,500-1000,3,2
50,male,18,1209.0,car,7.3,1,<100,1,1
32,male,12,1230.0,furniture,9.0,0,>1000,1,1
31,female,36,12019.0,car,3.2,0,100-500,2,2
33,female,6,3144.0,radio/tv,7.1,2,500-1000,2,2
50,male,48,6637.0,radio/tv,3.5,0,<100,4,2
62,female,18,2704.0,furniture,6.8,0,<100,3,2
24,female,24,2199.0,radio/tv,2.4,0,unknown,3,1
66,male,18,2363.0,education,0.8,0,500-1000,1,1
63,male,6,3867.0,business,3.8,0,<100,1,1
51,male,36,8412.0,business,6.0,0,100-500,2,2
65,male,48,2934.0,car,3.0,0,>1000,3,2
54,male,48,2206.0,radio/tv,5.9,1,>1000,4,2
54,male,18,1557.0,education,3.8,0,>1000,2,1
45,male,6,4508.0,repairs,4.9,0,100-500,1,2
33,male,36,2259.0,education,2.1,0,500-1000,3,2
44,male,48,7811.0,education,2.2,4,unknown,4,2
48,male,24,3541.0,repairs,4.1,1,100-500,4,1
62,female,36,2197.0,car,7.1,0,500-1000,2,2
51,male,6,2648.0,repairs,6.8,0,100-500,1,1
22,male,18,5305.0,business,6.4,1,>1000,2,2
20,male,36,4541.0,car,1.7,0,500-1000,4,2
24,male,12,1034.0,radio/tv,3.3,0,500-1000,3,1
19,male,48,1815.0,business,6.4,1,100-500,3,2
42,male,48,1233.0,radio/tv,2.5,0,<100,3,2
48,male,12,2271.0,furniture,7.9,2,100-500,4,2
23,male,36,3742.0,education,5.1,1,<100,1,2
31,male,6,6536.0,repairs,10.0,2,unknown,1,1
49,male,12,3599.0,repairs,11.2,0,100-500,2,2
46,male,6,2832.0,furniture,1.2,1,500-1000,3,1
70,male,48,881.0,car,4.6,0,<100,2,2
60,male,36,5269.0,furniture,4.4,0,unknown,1,2
49,male,12,10888.0,repairs,8.4,1,<100,1,2
37,male,6,4204.0,business,3.6,0,<100,4,2
22,male,48,10928.0,furniture,0.1,1,100-500,1,2
33,male,24,3743.0,business,11.8,0,100-500,4,1
26,male,12,2609.0,education,5.3,1,unknown,3,2
38,male,48,2088.0,education,1.0,0,>1000,4,2
42,male,6,1526.0,radio/tv,5.5,0,>1000,4,1
55,male,6,2759.0,radio/tv,4.5,0,>1000,4,2
48,male,18,4073.0,furniture,2.5,0,500-1000,1,2
35,male,18,4648.0,education,6.3,0,<100,4,1
35,female,48,4423.0,radio/tv,2.9,1,>1000,3,2
50,male,24,6377.0,business,3.6,1,unknown,1,2
40,male,6,580.0,radio/tv,7.8,0,500-1000,1,1
59,male,6,3845.0,education,5.5,0,<100,2,1
62,male,36,2726.0,education,4.0,2,500-1000,2,2
38,male,18,4347.0,car,2.8,0,>1000,3,1
32,male,48,2287.0,education,9.5,0,>1000,4,1
70,male,36,1509.0,repairs,6.2,0,500-1000,1,1
41,male,36,970.0,furniture,1.7,0,unknown,2,2
48,female,48,3282.0,car,6.0,2,500-1000,1,2
21,male,36,2674.0,furniture,5.4,0,unknown,2,2
22,male,48,1176.0,furniture,4.4,0,unknown,1,2
60,male,12,6595.0,repairs,9.6,0,>1000,2,2
22,male,6,2040.0,car,1.3,1,500-1000,4,1
45,male,24,820.0,education,3.2,0,>1000,1,1
60,female,12,1859.0,repairs,5.5,0,unknown,4,1
34,female,36,1772.0,repairs,6.0,0,>1000,3,2
69,female,6,4126.0,radio/tv,5.4,0,500-1000,2,2
21,female,36,2295.0,car,4.9,2,100-500,3,2
63,male,36,3392.0,repairs,2.1,1,unknown,2,2
53,male,36,1977.0,furniture,1.3,0,100-500,1,1
56,female,12,4428.0,radio/tv,4.3,0,500-1000,4,1
59,male,18,3166.0,business,5.6,0,500-1000,4,1
25,female,6,5237.0,repairs,2.2,0,<100,4,2
36,female,24,1841.0,education,0.8,0,500-1000,1,2
64,female,24,1362.0,education,0.8,0,100-500,1,1
24,male,6,6346.0,business,0.4,0,500-1000,1,2
65,male,48,2175.0,radio/tv,1.9,1,100-500,1,1
49,male,36,4206.0,repairs,3.1,2,>1000,3,2
38,male,48,2860.0,radio/tv,4.8,0,<100,1,1
31,male,18,4782.0,furniture,3.0,0,<100,3,1
51,male,48,2537.0,education,5.8,2,>1000,2,2
68,female,12,2304.0,repairs,8.3,0,unknown,1,1
29,male,48,1279.0,business,1.1,0,unknown,3,2
34,female,12,2706.0,repairs,6.1,0,>1000,3,1
54,male,48,1461.0,education,6.6,0,100-500,2,1
41,female,36,3998.0,radio/tv,9.1,0,unknown,1,2
23,male,12,4566.0,repairs,5.5,0,<100,3,2
28,male,12,2129.0,car,4.9,0,100-500,1,1
54,male,12,5254.0,repairs,6.5,0,>1000,4,2
35,male,18,2747.0,education,3.1,0,>1000,2,2
19,male,48,6290.0,furniture,1.9,1,500-1000,2,2
37,female,18,1948.0,education,10.7,0,500-1000,2,1
19,female,12,10816.0,car,1.2,1,<100,3,2
20,female,18,3046.0,business,2.2,0,100-500,2,1
58,male,36,4127.0,furniture,2.8,1,500-1000,1,2
61,male,6,4752.0,business,2.3,1,<100,1,1
60,female,24,5452.0,business,2.8,2,500-1000,4,2
29,female,24,3520.0,car,2.0,1,>1000,3,2
42,male,18,2600.0,education,3.1,0,>1000,3,1
44,female,12,2549.0,furniture,3.2,0,<100,4,1
43,male,12,3919.0,car,2.4,0,unknown,2,1
68,male,6,3277.0,education,5.0,0,<100,2,1
70,male,18,8751.0,furniture,0.9,1,500-1000,3,2
58,male,24,1446.0,repairs,3.9,1,unknown,3,1
28,male,6,2068.0,education,10.4,0,500-1000,1,1
45,male,24,4221.0,business,3.3,2,<100,1,2
63,male,48,2209.0,business,5.1,0,>1000,4,1
56,male,36,5649.0,education,4.4,2,<100,2,2
27,male,48,4553.0,radio/tv,3.5,0,<100,1,1
58,male,12,5744.0,business,1.5,0,unknown,4,2
71,male,18,1586.0,business,1.6,1,unknown,4,2
53,female,6,6364.0,radio/tv,10.4,1,<100,2,2
41,male,18,8229.0,furniture,1.4,0,unknown,1,2
39,male,48,4812.0,car,10.0,0,<100,3,2
44,female,36,5356.0,furniture,2.1,0,100-500,2,1
45,male,6,6077.0,repairs,6.1,0,100-500,4,2
56,male,18,2656.0,business,3.0,0,unknown,1,1
57,male,6,1657.0,car,5.3,0,unknown,1,1
62,male,18,1469.0,education,6.8,0,unknown,2,2
55,male,36,3030.0,furniture,2.8,1,100-500,1,2
37,female,24,2396.0,radio/tv,4.2,1,<100,1,1
62,female,24,2970.0,furniture,0.9,1,>1000,1,2
22,male,6,1275.0,education,7.1,0,100-500,2,1
19,female,12,16112.0,business,0.8,2,unknown,4,2
51,male,48,4403.0,education,4.3,0,unknown,3,2
54,male,48,2712.0,furniture,5.6,0,100-500,1,2
19,female,18,3889.0,repairs,1.7,3,unknown,1,2
53,male,48,4797.0,business,1.6,2,>1000,2,2
71,male,48,5024.0,radio/tv,1.9,3,100-500,3,2
19,male,36,3874.0,car,2.1,0,500-1000,2,1
59,male,36,4158.0,furniture,1.2,1,unknown,1,2
36,female,6,1850.0,radio/tv,6.9,0,>1000,2,1
59,male,24,7173.0,furniture,4.9,0,500-1000,4,2
48,male,24,3798.0,education,10.3,2,>1000,3,2
37,male,12,3356.0,radio/tv,2.9,1,>1000,1,1
49,male,18,3894.0,business,0.3,0,<100,3,1
40,female,48,2161.0,radio/tv,6.4,0,100-500,3,2
62,male,18,2624.0,education,5.0,0,unknown,3,1
24,male,48,3230.0,furniture,0.1,1,<100,2,1
56,male,12,1471.0,business,0.7,0,500-1000,4,1
21,male,18,4193.0,repairs,2.3,0,unknown,2,2
62,male,48,7552.0,radio/tv,4.8,1,500-1000,3,2
47,female,6,4059.0,education,4.3,2,>1000,2,1
28,female,24,5358.0,car,4.3,0,<100,2,2
57,male,12,2342.0,car,7.4,2,>1000,3,1
59,male,24,4090.0,radio/tv,0.8,0,unknown,4,2
57,male,48,6239.0,car,3.0,1,500-1000,1,2
28,female,48,1433.0,repairs,5.6,1,500-1000,4,2
58,male,18,2951.0,business,3.5,0,unknown,2,1
21,male,12,4577.0,furniture,2.3,0,unknown,2,2
24,female,18,1951.0,car,1.5,2,>1000,4,2
38,male,36,2248.0,business,6.0,0,500-1000,4,2
56,female,6,2833.0,business,5.2,0,500-1000,1,1
52,male,36,3897.0,business,1.5,1,unknown,4,2
60,male,48,4152.0,education,7.0,0,<100,4,1
51,male,24,5501.0,repairs,7.7,0,>1000,3,2
30,male,18,4062.0,radio/tv,11.8,1,500-1000,1,1
45,male,18,1692.0,business,5.9,1,>1000,2,2
60,male,12,1737.0,education,1.4,0,100-500,3,2
39,female,18,1920.0,furniture,3.4,1,500-1000,2,1
69,male,36,1215.0,radio/tv,0.3,1,>1000,3,2
33,male,24,1529.0,radio/tv,3.0,0,unknown,3,1
35,male,12,6380.0,repairs,4.8,0,>1000,1,2
44,male,12,1104.0,business,1.0,0,500-1000,3,1
54,male,6,3771.0,car,1.9,1,unknown,3,1
31,male,6,3995.0,education,1.3,0,<100,4,2
68,male,6,1750.0,radio/tv,3.9,0,100-500,4,2
46,female,36,3017.0,education,1.4,0,>1000,4,2
24,male,12,2641.0,repairs,4.0,0,unknown,2,2
27,male,48,7731.0,repairs,2.2,0,unknown,2,2
33,female,24,1072.0,education,4.1,2,>1000,3,2
71,male,6,1909.0,education,3.9,0,500-1000,4,1
71,female,36,2161.0,education,0.3,0,<100,4,2
42,male,12,3478.0,education,5.6,0,500-1000,3,1
27,male,18,4123.0,repairs,4.8,0,>1000,3,2
69,male,24,2380.0,furniture,2.0,0,<100,3,2
22,female,48,2416.0,furniture,7.8,0,100-500,1,2
48,female,36,2196.0,business,1.3,1,unknown,3,2
51,male,12,4586.0,repairs,1.6,0,>1000,4,2
64,male,12,4321.0,radio/tv,0.4,0,>1000,3,2
60,male,18,7403.0,education,12.2,4,>1000,1,2
44,male,36,3272.0,repairs,1.6,1,>1000,4,2
57,male,48,10215.0,repairs,4.9,2,>1000,1,2
47,male,6,5173.0,education,6.5,1,500-1000,2,2
26,female,48,1408.0,business,4.3,1,<100,3,2
66,male,48,15454.0,education,1.8,0,unknown,1,2
30,male,36,2523.0,education,1.6,0,>1000,2,1
25,male,18,1521.0,furniture,3.6,0,>1000,3,1
51,male,24,1844.0,car,0.4,1,>1000,2,1
29,female,24,2552.0,car,9.6,1,<100,3,1
51,male,6,1326.0,car,11.8,1,<100,1,1
66,male,24,7750.0,business,2.0,0,100-500,4,2
33,male,36,6151.0,business,0.8,1,500-1000,3,2
19,male,48,8249.0,furniture,10.2,0,>1000,1,2
64,male,6,1933.0,education,3.2,0,500-1000,2,1
70,female,18,3615.0,furniture,4.2,0,<100,4,1
38,female,24,1897.0,repairs,5.4,0,100-500,3,1
32,female,6,2362.0,car,2.8,1,<100,1,1
44,male,6,3316.0,car,5.3,1,500-1000,1,1
53,female,18,10826.0,furniture,2.1,0,<100,2,2
53,female,48,2796.0,radio/tv,4.5,0,<100,3,1
26,male,24,3609.0,car,2.9,0,>1000,3,2
70,male,6,2898.0,repairs,4.7,2,500-1000,4,2
48,male,36,9750.0,repairs,7.7,1,500-1000,3,2
66,female,12,13511.0,education,1.1,0,unknown,2,2
69,male,48,3862.0,education,2.1,1,500-1000,3,1
47,male,48,1601.0,furniture,2.2,0,100-500,2,1
57,female,48,2433.0,repairs,4.7,1,>1000,4,2
19,female,24,2974.0,furniture,13.8,0,500-1000,4,1
45,female,12,4316.0,car,3.6,0,<100,1,1
49,female,12,1205.0,education,3.9,0,500-1000,2,2
63,male,12,5080.0,radio/tv,3.8,0,>1000,2,2
38,male,18,7436.0,furniture,0.8,0,>1000,2,2
51,male,48,7207.0,education,0.7,0,100-500,1,2
62,male,6,1209.0,radio/tv,5.9,1,<100,3,1
29,male,12,1702.0,furniture,9.4,0,500-1000,4,1
38,male,24,5411.0,radio/tv,5.1,0,unknown,1,1
37,male,18,1342.0,education,4.7,0,<100,3,1
68,female,36,2485.0,repairs,0.5,1,unknown,1,2
37,male,48,1430.0,car,3.6,0,unknown,1,2
44,male,18,4858.0,repairs,2.6,0,500-1000,4,2
34,female,6,2122.0,repairs,19.5,0,500-1000,3,2
60,male,36,2303.0,furniture,14.4,1,unknown,4,1
55,male,48,2977.0,business,2.7,1,100-500,3,2
59,female,18,11025.0,education,10.6,0,500-1000,3,2
56,male,12,2824.0,radio/tv,3.3,0,100-500,1,2
68,female,6,6523.0,car,4.0,0,unknown,3,2
55,male,12,2274.0,education,5.0,0,<100,4,1
32,male,48,4784.0,education,3.2,0,unknown,4,2
69,male,18,2975.0,education,3.8,0,100-500,1,1
34,female,6,5920.0,education,4.2,0,>1000,4,2
68,male,36,1673.0,car,8.7,1,500-1000,2,1
71,female,48,5715.0,education,3.2,0,>1000,1,2
58,male,48,2938.0,business,2.2,0,<100,4,2
52,female,6,1194.0,business,7.6,2,>1000,4,2
33,male,18,1865.0,car,4.4,1,100-500,1,2
44,female,24,2118.0,car,3.3,1,<100,2,1
48,male,6,670.0,education,7.0,0,500-1000,2,1
37,female,12,12424.0,furniture,1.6,0,100-500,3,2
33,female,6,1736.0,radio/tv,5.4,0,100-500,2,1
51,female,36,7455.0,car,3.3,3,unknown,1,2
27,male,48,3537.0,education,2.1,0,unknown,3,1
24,male,18,5998.0,radio/tv,2.5,1,500-1000,1,1
57,male,12,6810.0,radio/tv,1.7,0,500-1000,4,2
69,male,36,3663.0,education,6.4,1,>1000,2,2
23,male,6,3360.0,repairs,4.8,1,<100,1,2
62,female,36,2474.0,car,1.8,2,100-500,2,1
58,male,36,5244.0,car,1.4,1,500-1000,1,1
31,male,36,3480.0,repairs,8.8,0,unknown,1,2
55,male,36,7999.0,furniture,2.9,0,>1000,2,2
44,male,24,3116.0,repairs,5.2,0,<100,3,1
19,male,6,5982.0,education,5.2,1,>1000,1,2
45,male,12,4694.0,car,1.0,0,<100,2,2
42,male,36,1005.0,education,1.0,0,<100,3,2
65,male,18,4654.0,business,5.8,0,<100,3,2
47,female,12,2071.0,repairs,3.8,1,<100,1,1
24,male,24,5611.0,car,7.7,1,<100,4,2
26,male,24,1322.0,education,3.4,0,<100,4,1
53,female,12,1960.0,furniture,5.6,0,unknown,3,1
45,male,12,2080.0,furniture,3.4,3,>1000,4,1
69,male,6,10134.0,radio/tv,1.3,0,500-1000,2,2
63,male,18,777.0,furniture,5.0,0,unknown,3,2
37,male,18,2636.0,education,5.9,1,<100,4,1
50,female,6,1019.0,business,5.0,1,>1000,3,2
47,male,18,760.0,business,6.3,0,500-1000,1,1
43,male,24,3150.0,business,2.2,0,<100,3,2
68,female,36,1850.0,radio/tv,4.9,0,>1000,4,2
44,male,48,2293.0,car,5.1,0,<100,1,1
59,female,6,3245.0,car,0.9,1,500-1000,1,2
36,female,12,1738.0,education,0.2,0,500-1000,3,1
58,male,48,2341.0,education,1.6,0,100-500,1,1
31,female,6,2030.0,radio/tv,1.9,0,unknown,1,2
32,male,6,4103.0,car,4.0,0,>1000,2,1
21,male,6,5529.0,business,3.6,1,<100,3,2
64,male,24,2444.0,education,10.5,1,100-500,2,2
49,female,24,3028.0,furniture,2.3,0,unknown,2,2
21,female,6,2395.0,business,9.3,0,>1000,3,2
50,male,12,1402.0,repairs,1.3,0,100-500,2,1
24,male,12,1737.0,furniture,7.3,1,500-1000,4,2
34,female,48,1897.0,car,6.1,1,100-500,3,2
60,female,48,5684.0,business,2.6,0,100-500,1,1
35,male,36,3511.0,car,6.7,1,>1000,4,2
69,male,18,4258.0,repairs,4.5,0,500-1000,4,2
29,male,18,1303.0,car,2.4,0,<100,3,1
34,male,18,4243.0,radio/tv,4.6,0,500-1000,1,1
29,female,6,3912.0,business,4.5,1,<100,4,2
21,male,24,2577.0,education,1.8,2,>1000,1,2
61,male,12,4975.0,repairs,4.8,0,unknown,2,1
20,male,36,1052.0,education,3.4,0,100-500,4,1
60,male,18,1354.0,furniture,3.4,1,500-1000,4,1
29,male,48,3122.0,radio/tv,3.3,1,500-1000,3,2
41,male,36,2463.0,radio/tv,5.8,1,<100,3,2
30,male,18,2061.0,furniture,4.1,1,<100,4,1
36,female,48,2323.0,radio/tv,5.5,1,>1000,3,1
47,male,24,957.0,furniture,0.4,0,100-500,2,2
31,female,24,3019.0,car,3.4,1,500-1000,2,2
34,male,48,954.0,radio/tv,0.7,1,<100,4,2
32,male,18,2773.0,car,0.6,0,>1000,3,2
35,male,48,4822.0,repairs,2.5,3,unknown,1,2
53,male,36,4740.0,education,1.6,0,>1000,1,1
43,female,6,2973.0,furniture,2.0,0,100-500,2,2
47,male,48,2436.0,radio/tv,2.1,0,unknown,4,2
69,female,12,2567.0,education,8.2,0,>1000,4,1
68,female,36,3492.0,business,2.2,0,<100,1,2
37,male,6,657.0,repairs,5.2,0,<100,2,1
46,male,36,3749.0,radio/tv,4.0,0,<100,1,2
32,female,18,2702.0,education,4.2,1,>1000,4,2
44,male,24,6247.0,furniture,13.1,0,<100,2,2
20,female,24,1464.0,education,2.4,0,>1000,2,1
55,female,48,4827.0,repairs,2.5,0,unknown,3,2
38,male,18,1383.0,repairs,3.4,0,100-500,4,1
70,female,48,1707.0,radio/tv,1.3,1,<100,4,2
59,male,36,2839.0,car,4.6,0,<100,1,1
51,male,36,2748.0,furniture,3.1,0,<100,4,2
24,female,48,2175.0,business,4.3,1,100-500,1,2
42,male,24,6648.0,education,5.1,0,100-500,1,2
64,male,48,1296.0,car,4.5,1,<100,2,2
50,male,18,20233.0,repairs,5.0,0,<100,1,2
24,male,48,4798.0,education,4.5,0,>1000,2,2
31,female,6,3105.0,education,3.2,0,unknown,4,1
31,female,12,8139.0,education,6.7,0,<100,4,2
59,male,24,3411.0,car,6.3,0,100-500,2,2
47,male,48,1055.0,education,2.5,0,100-500,4,2
68,male,18,8265.0,education,9.5,0,500-1000,3,2
50,female,24,3467.0,repairs,3.2,2,100-500,1,2
69,male,24,2412.0,business,2.6,1,100-500,2,2
56,female,18,2661.0,business,0.3,0,unknown,2,1
37,male,36,2665.0,repairs,1.9,1,500-1000,4,1
39,female,36,3927.0,radio/tv,1.4,0,>1000,1,1
66,male,6,7091.0,repairs,3.5,0,<100,4,2
56,female,36,3130.0,business,1.8,0,500-1000,3,2
60,male,36,2433.0,radio/tv,6.4,1,>1000,3,2
52,male,6,4915.0,furniture,2.6,0,>1000,2,1
30,male,24,2719.0,business,6.7,1,500-1000,1,1
63,female,36,1975.0,education,3.7,1,>1000,1,1
43,female,48,1941.0,furniture,3.3,0,unknown,1,2
21,female,36,11546.0,business,8.1,1,>1000,2,2
69,female,24,1669.0,radio/tv,3.7,0,unknown,2,1
22,male,6,6007.0,radio/tv,6.8,1,500-1000,4,2
31,male,6,1831.0,car,2.3,0,100-500,1,2
54,male,24,3990.0,repairs,3.7,0,100-500,2,1
24,male,18,8299.0,repairs,9.5,0,<100,2,2
44,male,24,2728.0,radio/tv,2.4,0,100-500,2,2
63,female,36,2887.0,business,3.4,0,unknown,2,1
59,male,12,770.0,car,0.9,0,100-500,2,1
67,female,24,7962.0,furniture,3.5,0,100-500,1,1
19,male,24,3246.0,radio/tv,5.3,1,unknown,2,1
63,male,24,3141.0,business,1.4,0,>1000,3,2
22,male,36,5715.0,business,3.4,1,>1000,4,2
29,male,48,3255.0,repairs,1.3,1,500-1000,1,2
71,female,36,5176.0,education,8.7,0,>1000,4,2
24,male,6,935.0,education,10.0,0,100-500,4,2
46,male,18,6812.0,repairs,1.5,1,500-1000,1,2
20,male,12,1962.0,business,3.2,0,unknown,1,1
21,male,12,3771.0,education,6.3,1,<100,2,2
34,male,18,1461.0,furniture,3.8,1,500-1000,3,2
54,female,6,3137.0,repairs,6.5,0,<100,3,2
30,female,48,4266.0,car,1.4,0,100-500,2,2
33,male,12,1397.0,education,3.6,0,100-500,1,2
51,male,48,2686.0,education,3.1,1,>1000,1,1
19,male,36,2823.0,furniture,4.1,0,<100,2,1
60,male,12,1529.0,education,1.9,0,unknown,4,1
45,female,36,1485.0,radio/tv,6.5,0,unknown,2,1
43,male,18,8461.0,business,2.8,0,unknown,1,2
69,female,48,1810.0,furniture,6.9,1,100-500,1,2
70,male,6,10550.0,business,6.7,1,500-1000,1,2
57,male,18,1583.0,car,7.2,1,500-1000,3,1
34,male,36,1622.0,car,3.2,0,500-1000,1,2
23,male,36,5403.0,education,6.8,0,<100,2,2
57,female,24,1893.0,education,5.1,0,unknown,3,1
59,female,48,1342.0,education,1.6,1,unknown,4,2
40,male,12,2712.0,business,2.9,1,>1000,1,2
50,male,6,5628.0,car,5.9,1,500-1000,1,2
64,male,36,1090.0,car,4.0,0,>1000,3,2
20,male,18,2434.0,education,1.3,0,>1000,3,2
68,male,48,5800.0,business,2.0,0,500-1000,4,2
61,male,48,3916.0,repairs,5.0,1,unknown,1,2
63,male,36,4203.0,repairs,4.7,0,500-1000,4,2
46,male,24,1180.0,business,3.3,0,unknown,3,1
34,male,36,1770.0,car,2.3,0,500-1000,3,2
44,male,48,3822.0,repairs,3.9,0,100-500,4,2
60,male,24,3848.0,radio/tv,1.7,0,100-500,2,1
60,male,24,4565.0,repairs,6.7,0,500-1000,1,2
61,female,12,2233.0,business,1.3,0,unknown,3,2
27,female,48,3807.0,radio/tv,1.5,0,unknown,3,2
25,male,48,2280.0,furniture,1.9,0,500-1000,1,1
24,female,12,4510.0,repairs,1.3,0,500-1000,3,2
68,female,6,2412.0,repairs,3.1,0,>1000,4,2
35,male,12,982.0,repairs,3.4,2,unknown,3,1
68,female,6,4044.0,car,4.3,0,500-1000,4,2
60,male,6,3803.0,car,7.6,0,100-500,1,2
64,female,36,2468.0,radio/tv,1.1,0,100-500,1,2
71,male,12,3830.0,repairs,4.2,0,unknown,2,1
46,male,36,1621.0,education,4.8,0,<100,1,1
58,male,18,2648.0,education,0.9,0,>1000,3,2
21,female,36,3761.0,radio/tv,5.3,0,unknown,1,2
44,female,12,6364.0,car,0.4,0,100-500,2,2
36,male,48,1192.0,business,0.2,0,500-1000,3,2
45,male,48,2598.0,education,1.2,0,unknown,2,2
63,male,6,3947.0,car,7.3,0,100-500,1,1
71,male,48,3428.0,education,6.7,0,>1000,3,1
59,female,36,8779.0,radio/tv,1.0,0,<100,4,2
51,male,6,4575.0,radio/tv,3.1,0,>1000,4,1
39,male,12,7758.0,education,1.0,1,100-500,3,2
36,female,18,2809.0,furniture,3.0,0,100-500,1,1
70,male,6,1867.0,repairs,8.2,0,>1000,2,1
33,male,18,2282.0,repairs,4.5,0,100-500,1,1
44,female,12,8426.0,car,2.6,0,100-500,4,2
66,male,48,4349.0,business,3.4,0,<100,4,2
31,female,18,2368.0,education,3.7,0,>1000,2,1
19,male,48,2245.0,car,3.5,1,unknown,3,2
58,male,6,6259.0,repairs,1.2,1,100-500,2,2
22,female,18,4324.0,furniture,6.0,1,unknown,1,2
23,male,12,4188.0,repairs,2.4,1,100-500,1,1
33,male,6,1876.0,radio/tv,3.0,0,>1000,1,1
59,male,24,5632.0,furniture,2.2,1,unknown,2,1
41,male,24,4108.0,car,0.2,1,100-500,1,2
60,male,12,2545.0,business,5.4,0,>1000,1,2
71,male,48,1158.0,car,8.5,0,100-500,4,2
42,female,6,10274.0,car,4.2,2,500-1000,2,2
31,male,6,3476.0,education,2.9,2,500-1000,2,1
67,female,12,6020.0,education,0.8,1,>1000,3,2
45,male,36,2168.0,radio/tv,5.8,0,>1000,2,1
50,male,18,3557.0,furniture,0.5,1,<100,4,2
37,male,6,1457.0,repairs,5.4,1,unknown,1,2
22,male,36,1821.0,radio/tv,2.2,1,<100,3,1
20,female,36,5545.0,education,2.8,0,<100,2,2
32,male,18,2486.0,radio/tv,0.9,2,100-500,3,2
31,female,36,4277.0,radio/tv,4.5,0,<100,3,2
66,female,48,1479.0,business,14.1,1,<100,2,2
44,female,24,7514.0,furniture,4.2,0,500-1000,4,2
43,male,24,6638.0,repairs,4.7,0,unknown,4,2
54,male,12,3849.0,business,3.5,1,>1000,1,2
66,male,12,5410.0,education,2.8,1,>1000,2,2
27,male,6,7481.0,education,5.9,0,500-1000,3,2
41,male,48,5719.0,repairs,1.7,0,100-500,3,2
70,male,12,2207.0,radio/tv,7.1,0,500-1000,1,1
65,male,18,2424.0,business,9.0,1,<100,3,1
